1,47 MySakila Drive,,Alberta,300,,NA,2/15/06 9:45
2,28 MySQL Boulevard,,QLD,576,,NA,2/15/06 9:45
3,23 Workhaven Lane,,Alberta,300,,14033335568,2/15/06 9:45
4,1411 Lillydale Drive,,QLD,576,,6172235589,2/15/06 9:45
5,1913 Hanoi Way,,Nagasaki,463,35200,28303384290,2/15/06 9:45
6,1121 Loja Avenue,,California,449,17886,8.39E+11,2/15/06 9:45
7,692 Joliet Street,,Attika,38,83579,4.48E+11,2/15/06 9:45
8,1566 Inegl Manor,,Mandalay,349,53561,7.06E+11,2/15/06 9:45
9,53 Idfu Parkway,,Nantou,361,42399,10655648674,2/15/06 9:45
10,1795 Santiago de Compostela Way,,Texas,295,18743,8.60E+11,2/15/06 9:45
11,900 Santiago de Compostela Parkway,,Central Serbia,280,93896,7.17E+11,2/15/06 9:45
12,478 Joliet Way,,Hamilton,200,77948,6.57E+11,2/15/06 9:45
13,613 Korolev Drive,,Masqat,329,45844,3.81E+11,2/15/06 9:45
14,1531 Sal Drive,,Esfahan,162,53628,6.49E+11,2/15/06 9:45
15,1542 Tarlac Parkway,,Kanagawa,440,1027,6.35E+11,2/15/06 9:45
16,808 Bhopal Manor,,Haryana,582,10672,4.66E+11,2/15/06 9:45
17,270 Amroha Parkway,,Osmaniye,384,29610,6.95E+11,2/15/06 9:45
18,770 Bydgoszcz Avenue,,California,120,16266,5.17E+11,2/15/06 9:45
19,419 Iligan Lane,,Madhya Pradesh,76,72878,9.91E+11,2/15/06 9:45
20,360 Toulouse Parkway,,England,495,54308,9.49E+11,2/15/06 9:45
21,270 Toulon Boulevard,,Kalmykia,156,81766,4.08E+11,2/15/06 9:45
22,320 Brest Avenue,,Kaduna,252,43331,7.48E+11,2/15/06 9:45
23,1417 Lancaster Avenue,,Northern Cape,267,72192,2.73E+11,2/15/06 9:45
24,1688 Okara Way,,Nothwest Border Prov,327,21954,1.44E+11,2/15/06 9:45
25,262 A Corua (La Corua) Parkway,,Dhaka,525,34418,8.93E+11,2/15/06 9:45
26,28 Charlotte Amalie Street,,Rabat-Sal-Zammour-Z,443,37551,1.62E+11,2/15/06 9:45
27,1780 Hino Boulevard,,Liepaja,303,7716,9.03E+11,2/15/06 9:45
28,96 Tafuna Way,,Crdoba,128,99865,9.35E+11,2/15/06 9:45
29,934 San Felipe de Puerto Plata Street,,Sind,472,99780,1.96E+11,2/15/06 9:45
30,18 Duisburg Boulevard,,NA,121,58327,9.98E+11,2/15/06 9:45
31,217 Botshabelo Place,,Southern Mindanao,138,49521,6.65E+11,2/15/06 9:45
32,1425 Shikarpur Manor,,Bihar,346,65599,6.78E+11,2/15/06 9:45
33,786 Aurora Avenue,,Yamaguchi,474,65750,18461860151,2/15/06 9:45
34,1668 Anpolis Street,,Taipei,316,50199,5.25E+11,2/15/06 9:45
35,33 Gorontalo Way,,West Bengali,257,30348,7.46E+11,2/15/06 9:45
36,176 Mandaluyong Place,,Uttar Pradesh,239,65213,6.28E+11,2/15/06 9:45
37,127 Purnea (Purnia) Manor,,Piemonte,17,79388,9.12E+11,2/15/06 9:45
38,61 Tama Street,,Okayama,284,94065,7.08E+11,2/15/06 9:45
39,391 Callao Drive,,Midi-Pyrnes,544,34021,4.41E+11,2/15/06 9:45
40,334 Munger (Monghyr) Lane,,Markazi,31,38145,4.81E+11,2/15/06 9:45
41,1440 Fukuyama Loop,,Henan,362,47929,9.12E+11,2/15/06 9:45
42,269 Cam Ranh Parkway,,Chisinau,115,34689,4.90E+11,2/15/06 9:45
43,306 Antofagasta Place,,Esprito Santo,569,3989,3.78E+11,2/15/06 9:45
44,671 Graz Street,,Oriental,353,94399,6.81E+11,2/15/06 9:45
45,42 Brindisi Place,,Yerevan,586,16744,42384721397,2/15/06 9:45
46,1632 Bislig Avenue,,Nonthaburi,394,61117,4.72E+11,2/15/06 9:45
47,1447 Imus Way,,Tahiti,167,48942,5.40E+11,2/15/06 9:45
48,1998 Halifax Drive,,Lipetsk,308,76022,1.78E+11,2/15/06 9:45
49,1718 Valencia Street,,Antofagasta,27,37359,6.75E+11,2/15/06 9:45
50,46 Pjatigorsk Lane,,Moscow (City),343,23616,2.62E+11,2/15/06 9:45
51,686 Garland Manor,,Cear,247,52535,69493378813,2/15/06 9:45
52,909 Garland Manor,,Tatarstan,367,69367,7.06E+11,2/15/06 9:45
53,725 Isesaki Place,,Mekka,237,74428,8.76E+11,2/15/06 9:45
54,115 Hidalgo Parkway,,Khartum,379,80168,3.08E+11,2/15/06 9:45
55,1135 Izumisano Parkway,,California,171,48150,1.72E+11,2/15/06 9:45
56,939 Probolinggo Loop,,Galicia,1,4166,6.80E+11,2/15/06 9:45
57,17 Kabul Boulevard,,Chiba,355,38594,6.98E+11,2/15/06 9:45
58,1964 Allappuzha (Alleppey) Street,,Yamaguchi,227,48980,9.21E+11,2/15/06 9:45
59,1697 Kowloon and New Kowloon Loop,,Moskova,49,57807,4.99E+11,2/15/06 9:45
60,1668 Saint Louis Place,,Tahiti,397,39072,3.47E+11,2/15/06 9:45
61,943 Tokat Street,,Vaduz,560,45428,8.89E+11,2/15/06 9:45
62,1114 Liepaja Street,,Sarawak,282,69226,2.13E+11,2/15/06 9:45
63,1213 Ranchi Parkway,,Karnataka,350,94352,8.00E+11,2/15/06 9:45
64,81 Hodeida Way,,Rajasthan,231,55561,2.51E+11,2/15/06 9:45
65,915 Ponce Place,,Basel-Stadt,56,83980,1395251317,2/15/06 9:45
66,1717 Guadalajara Lane,,Missouri,441,85505,9.14E+11,2/15/06 9:45
67,1214 Hanoi Way,,Nebraska,306,67055,4.91E+11,2/15/06 9:45
68,1966 Amroha Avenue,,Sichuan,139,70385,3.33E+11,2/15/06 9:45
69,698 Otsu Street,,Cayenne,105,71110,4.10E+11,2/15/06 9:45
70,1150 Kimchon Manor,,Skne ln,321,96109,6.63E+11,2/15/06 9:45
71,1586 Guaruj Place,,Hunan,579,5135,9.47E+11,2/15/06 9:45
72,57 Arlington Manor,,Madhya Pradesh,475,48960,9.90E+11,2/15/06 9:45
73,1031 Daugavpils Parkway,,Bchar,63,59025,1.07E+11,2/15/06 9:45
74,1124 Buenaventura Drive,,Mekka,13,6856,4.08E+11,2/15/06 9:45
75,492 Cam Ranh Street,,Eastern Visayas,61,50805,5.65E+11,2/15/06 9:45
76,89 Allappuzha (Alleppey) Manor,,National Capital Reg,517,75444,2.56E+11,2/15/06 9:45
77,1947 Poos de Caldas Boulevard,,Chiayi,114,60951,4.27E+11,2/15/06 9:45
78,1206 Dos Quebradas Place,,So Paulo,431,20207,2.42E+11,2/15/06 9:45
79,1551 Rampur Lane,,Changhwa,108,72394,2.51E+11,2/15/06 9:45
80,602 Paarl Street,,Pavlodar,402,98889,8.96E+11,2/15/06 9:45
81,1692 Ede Loop,,So Paulo,30,9223,9.19E+11,2/15/06 9:45
82,936 Salzburg Lane,,Uttar Pradesh,425,96709,8.76E+11,2/15/06 9:45
83,586 Tete Way,,Kanagawa,256,1079,18581624103,2/15/06 9:45
84,1888 Kabul Drive,,Oyo & Osun,217,20936,7.01E+11,2/15/06 9:45
85,320 Baiyin Parkway,,Mahajanga,319,37307,2.24E+11,2/15/06 9:45
86,927 Baha Blanca Parkway,,Krim,479,9495,8.22E+11,2/15/06 9:45
87,929 Tallahassee Loop,,Gauteng,497,74671,8.01E+11,2/15/06 9:45
88,125 Citt del Vaticano Boulevard,,Puebla,40,67912,48417642933,2/15/06 9:45
89,1557 Ktahya Boulevard,,England,88,88002,7.21E+11,2/15/06 9:45
90,870 Ashqelon Loop,,Songkhla,489,84931,1.35E+11,2/15/06 9:45
91,1740 Portoviejo Avenue,,Sucre,480,29932,1.98E+11,2/15/06 9:45
92,1942 Ciparay Parkway,,Cheju,113,82624,9.79E+11,2/15/06 9:45
93,1926 El Alto Avenue,,Buenos Aires,289,75543,8.46E+11,2/15/06 9:45
94,1952 Chatsworth Drive,,Guangdong,332,25958,9.92E+11,2/15/06 9:45
95,1370 Le Mans Avenue,,Brunei and Muara,53,52163,3.46E+11,2/15/06 9:45
96,984 Effon-Alaiye Avenue,,Gois,183,17119,1.33E+11,2/15/06 9:45
97,832 Nakhon Sawan Manor,,Inner Mongolia,592,49021,2.76E+11,2/15/06 9:45
98,152 Kitwe Parkway,,Caraga,82,53182,8.35E+11,2/15/06 9:45
99,1697 Tanauan Lane,,Punjab,399,22870,4764773857,2/15/06 9:45
100,1308 Arecibo Way,,Georgia,41,30695,6171054059,2/15/06 9:45
101,1599 Plock Drive,,Tete,534,71986,8.17E+11,2/15/06 9:45
102,669 Firozabad Loop,,Abu Dhabi,12,92265,4.13E+11,2/15/06 9:45
103,588 Vila Velha Manor,,Kyongsangbuk,268,51540,3.33E+11,2/15/06 9:45
104,1913 Kamakura Place,,Lipetsk,238,97287,9.43E+11,2/15/06 9:45
105,733 Mandaluyong Place,,Asir,2,77459,1.97E+11,2/15/06 9:45
106,659 Vaduz Drive,,Ha Darom,34,49708,7.10E+11,2/15/06 9:45
107,1177 Jelets Way,,Kwara & Kogi,220,3305,4.84E+11,2/15/06 9:45
108,1386 Yangor Avenue,,Provence-Alpes-Cte,543,80720,4.49E+11,2/15/06 9:45
109,454 Nakhon Sawan Boulevard,,Funafuti,173,76383,9.64E+11,2/15/06 9:45
110,1867 San Juan Bautista Tuxtepec Avenue,,Ivanovo,225,78311,5.47E+11,2/15/06 9:45
111,1532 Dzerzinsk Way,,Buenos Aires,334,9599,3.31E+11,2/15/06 9:45
